potentiometer0,potentiometer1,potentiometer2,potentiometer3,potentiometer4,potentiometer5,potentiometer6,encoder0,encoder1,encoder2,encoder3,encoder4,encoder5,encoder6
-1.0559892740587469,-0.5327351144485475,0.005064808932070678,-2.953010361859515,-2.9298837062525944,-2.9747021318201243,-2.9737360428219457,-1.040854491322231,-0.5154460829572407,0.004657569970000001,-2.9689531212531843,-2.968014130974019,-2.9665385748210444,-2.9665385748210444
-1.0558825777328498,-0.5326650818980441,0.005056634922717292,-2.952916405542013,-2.9298837062525944,-2.9749842632740826,-2.9738304678895586,-1.0408467685893568,-0.5154538056901149,0.004657569970000001,-2.968818979784732,-2.968014130974019,-2.9665385748210444,-2.9665385748210444
-1.0558825777328498,-0.5327351144485475,0.005056634922717292,-2.952916405542013,-2.9299768438192473,-2.9749842632740826,-2.9740193180247836,-1.040854491322231,-0.5154538056901149,0.004657569970000001,-2.96868483831628,-2.968014130974019,-2.9665385748210444,-2.9665385748210444
-1.0559359258957983,-0.5327000981732957,0.005064808932070678,-2.9527284929070086,-2.9298837062525944,-2.974890219456096,-2.9738304678895586,-1.0408622140551052,-0.5154538056901149,0.004657569970000001,-2.96868483831628,-2.968014130974019,-2.9665385748210444,-2.9665385748210444
-1.0559892740587469,-0.5327000981732957,0.0050688959367473745,-2.9527284929070086,-2.92979056868594,-2.9749842632740826,-2.9741137430923956,-1.0408699367879795,-0.5154538056901149,0.004657569970000001,-2.96868483831628,-2.968014130974019,-2.9665385748210444,-2.9665385748210444
-1.0559359258957983,-0.5327701307237991,0.005056634922717292,-2.9528224492245108,-2.9298837062525944,-2.974890219456096,-2.9741137430923956,-1.0408699367879795,-0.5154538056901149,0.004657569970000001,-2.96868483831628,-2.968014130974019,-2.9665385748210444,-2.9665385748210444
-1.0559359258957983,-0.5327000981732957,0.005064808932070678,-2.9528224492245108,-2.9295111559859777,-2.97479617563811,-2.9736416177543328,-1.0408699367879795,-0.5154538056901149,0.004657569970000001,-2.96868483831628,-2.968014130974019,-2.9665385748210444,-2.9665385748210444
-1.0559892740587469,-0.5327351144485475,0.005056634922717292,-2.9527284929070086,-2.929418018419325,-2.9749842632740826,-2.9740193180247836,-1.0408699367879795,-0.5154538056901149,0.004657569970000001,-2.96868483831628,-2.968014130974019,-2.9665385748210444,-2.9665385748210444
-1.0559892740587469,-0.5327351144485475,0.005064808932070678,-2.952916405542013,-2.92979056868594,-2.97479617563811,-2.9741137430923956,-1.0408699367879795,-0.5154538056901149,0.004657569970000001,-2.96868483831628,-2.968014130974019,-2.9665385748210444,-2.9665385748210444
-1.0558292295699012,-0.5327701307237991,0.005072982941424071,-2.9527284929070086,-2.9296042935526314,-2.974890219456096,-2.9740193180247836,-1.0408776595208535,-0.5154538056901149,0.004657569970000001,-2.96868483831628,-2.9678799895055663,-2.9665385748210444,-2.9665385748210444
